activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],,0,3,话剧歌剧,852,北京,[],,1_1_645060705004,-2139327542,FALSE,0,0,0,1,开心麻花2020年底大戏《动物视界》,开心麻花2020年底大戏《动物视界》,80,80-1080,1080,[],6.45061E+11,[],售票中,,2021.07.02-07.04,3,19,话剧,,世纪剧院,北京,107,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01pB6UGA2GdSK1TEvAM_!!0-item_pic.jpg
[],,0,5,曲苑杂坛,852,北京,[],,1_1_645338525734,-2136549335,FALSE,0,1,0,1,西城爆笑脱口秀-《加蜜下午茶》开心麻花A33剧场【加蜜喜剧】 精品秀,西城爆笑脱口秀-《加蜜下午茶》开心麻花A33剧场【加蜜喜剧】 精品秀,9.8,9.8-260,260,[],6.45339E+11,[],售票中,,2021.07.03-08.29,3,32,其他,,A33剧场,北京,57325,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01i1TmzD2GdSKSg7UFn_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_646418992743,-2125744665,FALSE,0,1,0,0,FAS潮流艺术X草莓音乐节 音画跨界文化节,FAS潮流艺术X草莓音乐节 音画跨界文化节,39,39-148,148,[],6.46419E+11,[],售票中,,2021.06.19-07.30,3,38,展会,,文沁阁艺术空间,北京,3171006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01y10sSs2GdSKKnPJon_!!2251059038.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_646460951709,-2125325075,FALSE,0,0,0,1,话剧《解忧杂货店》,话剧《解忧杂货店》,100,100-680,680,[],6.46461E+11,[],售票中,,2021.08.20-08.21,3,19,话剧,,保利剧院,北京,39,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN018ncUGa2GdSKAxlop8_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_649164086338,-2098293729,FALSE,0,1,0,0,关于绘本的十五位艺术家-绘本体验展,关于绘本的十五位艺术家-绘本体验展,20,20-48,48,[],6.49164E+11,[],售票中,,2021.07.10-10.10,3,38,展会,,M+SPACE,北京,3171014,https://img.alicdn.com/bao/uploaded/i3/2251059038/O1CN01QVloFF2GdSKTBjK6S_!!0-item_pic.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_646244413412,-2127490458,FALSE,0,0,0,1,开心麻花爆笑舞台剧《婿事待发》,开心麻花爆笑舞台剧《婿事待发》,50,50-300,300,[],6.46244E+11,[],售票中,,2021.07.02-07.11,3,19,话剧,,北京9剧场-切CHE·行动剧场,北京,332,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01xtyZBM2GdSKIZen7v_!!0-item_pic.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_646781806351,-2122116529,FALSE,0,1,0,0,「华北首展」国家地理经典影像大展,「华北首展」国家地理经典影像大展,60,60-228,228,[],6.46782E+11,[],售票中,,2021.07.17-10.24,3,38,展会,,北京银泰中心in01 2F展厅,北京,3175003,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01ZJann42GdSKHRpGHN_!!2251059038.jpg
[],,0,0,儿童亲子,852,北京,[],,1_1_647169890976,-2118235683,FALSE,0,1,0,1,北演公司出品·家庭音乐剧 《故宫里的大怪兽之吻兽使命》,北演公司出品·家庭音乐剧 《故宫里的大怪兽之吻兽使命》,180,180-1799,1799,[],6.4717E+11,[],售票中,,2021.08.21-08.22,3,0,,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01Fo0r8j2GdSKOuUL6s_!!2251059038.jpg
[],,0,7,展览休闲,852,北京,[],,1_1_645281156035,-2137123032,FALSE,0,1,0,0,【巨匠真迹】萨尔瓦多·达利—梦中的无尽谜团,【巨匠真迹】萨尔瓦多·达利—梦中的无尽谜团,89,89-258,258,[],6.45281E+11,[],售票中,,2021.07.10-10.10,3,38,展会,,摩卡艺术中心,北京,3171002,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01HFANMj2GdSK8CJHa7_!!2251059038.jpg
[],,0,3,话剧歌剧,852,北京,[],,1_1_647312570331,-2116808889,FALSE,0,1,0,1,晓年青剧团·电音荒诞喜剧《欲望街角》,晓年青剧团·电音荒诞喜剧《欲望街角》,100,100-480,480,[],6.47313E+11,[],售票中,,2021.07.08-07.11,3,19,话剧,,大麦·超剧场,北京,60614,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01lh3uio2GdSKLeRubp_!!2251059038.jpg
