activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic,favourable
[],,0,2,音乐会,852,北京,[],,1_1_644975955971,-2140175033,False,0,0,0,1,“浪漫古典II”—百年经典传世名曲音乐会,“浪漫古典II”—百年经典传世名曲音乐会,100.0,100-280,280.0,[],644975955971,[],售票中,,2021.08.13-08.21,3,18,其他,,三里屯·爱乐汇艺术空间,北京,2598006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01jycodW2GdSJvmm1nl_!!2251059038.png,
[],,0,3,话剧歌剧,852,北京,[],,1_1_646503290589,-2124901687,False,0,1,0,1,第六届中国原创话剧邀请展  全民抗疫话剧 《北街南院》,第六届中国原创话剧邀请展 全民抗疫话剧 《北街南院》,100.0,100-280,280.0,[],646503290589,[],售票中,,2021.07.02-07.04,3,19,话剧,,国家话剧院-小剧场,北京,53361,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i3/2251059038/O1CN01ubrETU2GdSK7DkZ59_!!2251059038.png,
[],,0,5,曲苑杂坛,852,北京,[],,1_1_647053063546,-2119403957,False,0,1,0,1,【周五夜喜剧秀】南锣鼓巷脱口秀小剧场，爆笑喜剧精彩不停！,【周五夜喜剧秀】南锣鼓巷脱口秀小剧场，爆笑喜剧精彩不停！,100.0,100-150,150.0,[],647053063546,[],售票中,,2021.07.02-08.01,3,32,其他,,蓬蒿剧场,北京,852,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01vZ5OQi2GdSKDabo0C_!!0-item_pic.jpg,
[],,0,3,话剧歌剧,852,北京,[],,1_1_644836124065,-2141573352,False,0,0,0,1,辽宁芭蕾舞团、辽宁歌舞团舞剧《铁人》,辽宁芭蕾舞团、辽宁歌舞团舞剧《铁人》,80.0,80-580,580.0,[],644836124065,[],售票中,,2021.07.23-07.24,3,22,音乐剧,,国家大剧院-歌剧院,北京,553,https://img.alicdn.com/bao/uploaded/i4/2251059038/O1CN01ywQRCk2GdSK8fYXS8_!!0-item_pic.jpg,
[],,0,0,儿童亲子,852,北京,[],,1_1_649269218601,-2097242406,False,0,1,0,1,『大演时代』亲子科普音乐剧《神奇校车•病菌大作战》北京首演,『大演时代』亲子科普音乐剧《神奇校车•病菌大作战》北京首演,108.0,108-580,580.0,[],649269218601,[],售票中,,2021.07.24 周六,3,0,,,华侨城大剧院(北京),北京,704,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01dQOmg92GdSKb2yYMy_!!2251059038.jpg,
[],,0,2,音乐会,852,北京,[],,1_1_647701017185,-2112924421,False,0,0,0,1,《忐忑》龚琳娜御用乐团-龚锣新艺术乐团专场音乐会,《忐忑》龚琳娜御用乐团-龚锣新艺术乐团专场音乐会,100.0,100-480,480.0,[],647701017185,[],售票中,,2021.08.27 周五 19:30,3,18,其他,,梅兰芳大剧院-大剧场,北京,564,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01iEbAVp2GdSKSf9cSs_!!2251059038.png,
[],,0,5,曲苑杂坛,852,北京,[],,1_1_644955893274,-2140375660,False,0,0,0,0,2021年7月24日 下午场 京剧《杨家将》,2021年7月24日 下午场 京剧《杨家将》,80.0,80-380,380.0,[],644955893274,[],售票中,,2021.07.24 周六 13:30,3,31,戏曲,,梅兰芳大剧院,北京,1546022,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01k7z6du2GdSJy5e36a_!!2251059038.jpg,
[],,0,0,儿童亲子,852,北京,[],,1_1_648267924761,-2107255345,False,0,1,0,1,海洋探险多媒体儿童剧《海底小纵队6：潜艇计划》,海洋探险多媒体儿童剧《海底小纵队6：潜艇计划》,75.0,75-480,480.0,[],648267924761,[],售票中,,2021.08.14 周六 10:30,3,0,,,朝阳剧场,北京,820,https://img.alicdn.com/bao/uploaded/i2/2251059038/O1CN01b62pcV2GdSKUr2M8T_!!0-item_pic.jpg,
[],,0,3,话剧歌剧,852,北京,[],,1_1_640123939155,2106272095,False,0,1,0,1,天津人艺呈现-曹禺经典话剧《雷雨》北京站,天津人艺呈现-曹禺经典话剧《雷雨》北京站,100.0,100-1480,1480.0,[],640123939155,[],售票中,,2021.12.17-12.18,3,19,话剧,,北京展览馆剧场,北京,26,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01L54OC22GdSJ34Vatv_!!2251059038.jpg,
[],,0,2,音乐会,852,北京,[],,1_1_640351070174,2108543405,False,0,0,0,1,“浪漫古典”一生必听的古典世界名曲音乐会,“浪漫古典”一生必听的古典世界名曲音乐会,100.0,100-380,380.0,[],640351070174,[],售票中,,2021.07.03-07.31,3,18,其他,,三里屯·爱乐汇艺术空间,北京,2598006,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01RKbnfd2GdSJ4rZ909_!!2251059038.png,
